jdate,mean.temp.F,mean.temp.C,high.F,high.C,time,low.F,low.C,time,heat.deg.days,cool.deg.days,rain,avg.wind.speed,high,time,dom.dir
1,31.9,-0.055555556,36.8,2.666666667,9:30p,23.9,-4.5,5:00a,33.1,0,0.99,0.4,7,4:30p,ENE
2,42.7,5.944444444,52.9,11.61111111,1:00p,35,1.666666667,12:00m,22.3,0,0.01,1.5,26,11:00a,W
3,36.1,2.277777778,38.2,3.444444444,12:30p,33.1,0.611111111,12:00m,28.9,0,0.23,0.4,5,1:30p,WNW
4,36.8,2.666666667,43.2,6.222222222,11:30a,28.2,-2.111111111,5:00a,28.2,0,0,0.5,7,10:00a,WNW
5,37,2.777777778,39.8,4.333333333,12:30p,35.3,1.833333333,5:00a,28,0,0.02,0.3,4,1:30p,W
6,37.5,3.055555556,39.3,4.055555556,12:00p,36.5,2.5,12:30a,27.5,0,0,1.8,12,3:00p,W
7,34.1,1.166666667,43.5,6.388888889,1:30p,24.4,-4.222222222,11:30p,30.9,0,0,1.6,13,9:00a,WNW
8,30.3,-0.944444444,34.6,1.444444444,3:00p,23.9,-4.5,12:30a,34.7,0,0,0.5,5,8:30a,WNW
9,34.9,1.611111111,42.6,5.888888889,1:00p,26.4,-3.111111111,6:30a,30.1,0,0,3.1,20,3:00p,NW
10,33.4,0.777777778,46.1,7.833333333,2:00p,20.8,-6.222222222,12:00m,31.6,0,0,0.9,10,9:30a,WNW
11,29.1,-1.611111111,43.6,6.444444444,3:00p,19.1,-7.166666667,3:00a,35.9,0,0,0,3,3:00p,SW
12,29.1,-1.611111111,45.1,7.277777778,2:00p,18,-7.777777778,7:00a,35.9,0,0,0.6,7,11:30a,WNW
13,31.4,-0.333333333,50.1,10.05555556,2:00p,18.8,-7.333333333,7:00a,33.6,0,0,0.3,6,10:00a,ESE
14,35.1,1.722222222,53.1,11.72222222,3:00p,23.3,-4.833333333,2:30a,29.9,0,0,0.2,7,10:30a,WNW
15,39.3,4.055555556,48.8,9.333333333,12:00p,24.4,-4.222222222,5:00a,25.7,0,0.22,1,11,11:00a,E
16,38.1,3.388888889,44.8,7.111111111,1:00p,31.8,-0.111111111,6:00a,26.9,0,0.01,1.7,12,6:00p,WSW
17,38.3,3.5,46.2,7.888888889,2:00p,31.5,-0.277777778,3:30a,26.8,0,0,1.6,14,12:30p,SW
18,35.1,1.722222222,43.3,6.277777778,1:00p,26.6,-3,4:00a,29.9,0,0,1.7,16,10:30a,WSW
19,35.2,1.777777778,47.7,8.722222222,2:00p,23.8,-4.555555556,10:30p,29.8,0,0,1.4,17,1:30p,SW
20,31.9,-0.055555556,41.6,5.333333333,12:00p,18.1,-7.722222222,12:00m,33.1,0,0,3,26,11:00a,W
21,35.1,1.722222222,50.8,10.44444444,3:00p,16.7,-8.5,3:00a,29.9,0,0,1.1,13,1:00p,SW
22,35.2,1.777777778,45.4,7.444444444,1:00p,23.2,-4.888888889,6:30a,29.8,0,0,1.6,20,1:30p,WSW
23,28.1,-2.166666667,35.2,1.777777778,12:30a,22.1,-5.5,12:00m,34.6,0,0,3.3,21,10:30a,WNW
24,28.5,-1.944444444,35.9,2.166666667,2:00p,20.6,-6.333333333,6:30a,36.5,0,0,1.3,11,11:30a,WSW
25,31.7,-0.166666667,34.6,1.444444444,1:00p,28.8,-1.777777778,8:00p,33.3,0,0,0.5,4,9:00a,ENE
26,31.9,-0.055555556,33.7,0.944444444,3:30p,29.8,-1.222222222,12:30a,33.1,0,0.14,0.2,4,1:30a,NE
27,34.9,1.611111111,40.2,4.555555556,12:00p,31.8,-0.111111111,12:00m,29.5,0,0.03,1.1,10,12:00p,W
28,28.4,-2,33.2,0.666666667,1:30p,23.2,-4.888888889,12:00m,36.6,0,0,4.1,21,10:30a,WNW
29,26.2,-3.222222222,30.9,-0.611111111,2:30p,21.8,-5.666666667,4:30a,38.8,0,0,3.7,26,9:30a,W
30,27.2,-2.666666667,37.3,2.944444444,2:30p,18.9,-7.277777778,7:00a,37.9,0,0,0.9,9,9:30a,SW
31,27.9,-2.277777778,29.7,-1.277777778,9:30a,25.7,-3.5,12:30a,37.1,0,0.01,1,7,11:00p,ENE
32,28.9,-1.722222222,30.7,-0.722222222,10:00p,26,-3.333333333,2:00a,36.1,0,0.02,1.1,9,2:30a,NNW
33,30.2,-1,32.8,0.444444444,1:30p,27.8,-2.333333333,10:00p,34.8,0,0.07,2.1,16,3:00p,WNW
34,33.4,0.777777778,39.2,4,4:00p,28.5,-1.944444444,12:30a,31.6,0,0.15,3.6,18,9:00a,WSW
35,32.5,0.277777778,43.3,6.277777778,3:00p,25.6,-3.555555556,6:30a,32.5,0,0.07,1.8,12,9:00a,WSW
36,40.8,4.888888889,52.5,11.38888889,2:30p,26.4,-3.111111111,12:00m,24.2,0,0.07,1.7,15,5:30p,WSW
37,33.9,1.055555556,44.9,7.166666667,2:30p,21.8,-5.666666667,4:00a,31.1,0,0,1.1,17,10:30a,SW
38,32.4,0.222222222,38.8,3.777777778,3:00p,23.8,-4.555555556,11:30p,32.6,0,0.4,0.8,12,4:00p,W
39,26.1,-3.277777778,36.8,2.666666667,3:00p,17.5,-8.055555556,5:30a,38.9,0,0,0.3,6,1:30p,E
40,34.2,1.222222222,45.1,7.277777778,1:30p,22.9,-5.055555556,12:30a,30.8,0,0,0.5,9,2:00p,NW
41,33.1,0.611111111,41.5,5.277777778,12:30p,25.8,-3.444444444,4:00a,31.9,0,0,0.4,6,11:30a,ESE
42,30.5,-0.833333333,32.1,0.055555556,12:30a,27.5,-2.5,12:00m,34.5,0,0.05,0.5,6,1:30p,NNW
43,26.7,-2.944444444,28.5,-1.944444444,2:00p,24.4,-4.222222222,9:00a,38.3,0,0.03,0.4,4,1:00a,NNE
44,26.6,-3,28.1,-2.166666667,12:30a,24.7,-4.055555556,8:30p,38.4,0,0,0.8,5,10:30a,NNW
45,31,-0.555555556,35.3,1.833333333,3:00p,25.7,-3.5,12:30a,34,0,0.2,0.5,6,2:30p,NNW
46,33.8,1,36.5,2.5,1:30p,32.5,0.277777778,12:30a,31.2,0,0.67,0.5,5,7:30p,NNW
47,34.9,1.611111111,45.5,7.5,2:00p,25.1,-3.833333333,12:00m,30.1,0,0.12,2,19,3:30p,W
48,26.2,-3.222222222,33.5,0.833333333,2:00p,21.6,-5.777777778,11:00p,38.8,0,0,1.3,11,12:30a,W
49,26.8,-2.888888889,28.7,-1.833333333,12:30p,23.9,-4.5,12:30a,35.1,0,0,0.9,9,11:30a,NNW
50,30.6,-0.777777778,34.6,1.444444444,3:00p,27.3,-2.611111111,6:30a,34.4,0,0.18,1.5,11,9:00p,W
51,25.8,-3.444444444,29.3,-1.5,2:00p,22.2,-5.444444444,12:00m,39.2,0,0.01,3.1,24,1:30p,WSW
52,27.5,-2.5,37.5,3.055555556,3:30p,14.4,-9.777777778,6:30a,37.5,0,0.21,0.4,7,9:00a,WSW
53,31.2,-0.444444444,35.2,1.777777778,4:30p,25.3,-3.722222222,2:00a,33.8,0,0.19,0.4,7,11:30a,ESE
54,42.4,5.777777778,51.9,11.05555556,2:30p,32.4,0.222222222,12:30a,22.6,0,0.33,2.9,28,3:00p,WSW
55,47,8.333333333,61,16.11111111,3:30p,26.7,-2.944444444,6:00a,18,0,0,1,17,11:30a,S
56,41.6,5.333333333,53.8,12.11111111,12:30a,27,-2.777777778,10:30p,23.4,0,0,2.5,17,1:30a,WNW
57,38.5,3.611111111,47.4,8.555555556,2:00p,29,-1.666666667,12:30a,26.5,0,0.17,1.1,12,6:30p,E
58,40.3,4.611111111,53.5,11.94444444,4:30p,34.6,1.444444444,12:30a,24.7,0,0.3,0.8,10,1:00p,WSW
59,41.4,5.222222222,44.5,6.944444444,8:00a,37.8,3.222222222,12:30a,23.6,0,0.69,0.4,6,11:30a,ENE
91,38.1,3.388888889,44.6,7,12:30a,30.7,-0.722222222,12:00m,26.9,0,0.26,2.8,23,2:30p,WNW
92,35,1.666666667,43.5,6.388888889,2:30p,27.5,-2.5,12:00m,30,0,0,3.3,21,2:00p,w
93,38,3.333333333,53.3,11.83333333,3:30p,21.1,-6.055555556,5:00a,27,0,0,1.3,13,9:00a,WSW
94,53.3,11.83333333,68.8,20.44444444,4:30p,34.9,1.611111111,12:30a,11.8,0.6,0,2.2,19,l:00p,WSW
95,53.1,11.72222222,69.8,21,4:30p,31.9,-0.055555556,6:00a,12.5,0.6,0,1.5,17,12:30p,WSW
96,58.9,14.94444444,72.7,22.61111111,3:30p,46,7.777777778,6:30a,7.8,1.7,0,0.8,12,3:00p,NE
97,61.7,16.5,78.3,25.72222222,2:30p,43.1,6.166666667,5:30a,6.9,3.5,0,0.8,12,2:30p,E
98,59,15,69.3,20.72222222,2:00p,47.1,8.388888889,6:00a,6.7,0.7,0,2.1,13,12:30p,E
99,52.7,11.5,55.1,12.83333333,3:30p,50.1,10.05555556,5:30a,12.3,0,0.29,1.1,7,12:30a,ENE
100,57.8,14.33333333,70.8,21.55555556,3:30p,51.7,10.94444444,5:30a,7.1,0.5,0.05,0.4,6,5:00p,ENE
101,64.8,18.22222222,77.9,25.5,3:30p,57.5,14.16666667,3:30a,3.3,3.1,0.42,1.5,15,10:30a,E
102,53.5,11.94444444,58.9,14.94444444,12:00p,48.5,9.166666667,10:00p,11.5,0,0.03,1.4,10,l:30p,ENE
103,53.6,12,64.7,18.16666667,4:30p,44.2,6.777777778,12:00m,11.2,0,0,0.9,13,3:00p,NNW
104,52.8,11.55555556,60.2,15.66666667,10:00a,41.9,5.5,4:30a,11.9,0,0.21,0.3,7,9:30a,SSW
105,53.4,11.88888889,62.1,16.72222222,12:00p,42.9,6.055555556,10:00p,11.6,0,0,2.9,24,2:00p,WSW
106,48.8,9.333333333,56.5,13.61111111,2:30p,36.3,2.388888889,3:30a,16.2,0,0,4.8,25,2:00p,WSW
107,46.9,8.277777778,55.7,13.16666667,2:30p,33.2,0.666666667,6:00a,18.1,0,0,1.3,15,3:00p,w
108,49.9,9.944444444,63.4,17.44444444,l:30p,32.2,0.111111111,5:30a,15.1,0,0,1,12,12:30p,SW
109,51.1,10.61111111,63.7,17.61111111,3:30p,41.6,5.333333333,12:00m,13.9,0,0,0.5,10,3:00p,ESE
110,58.5,14.72222222,74,23.33333333,2:30p,37.9,3.277777778,6:00a,9,2.5,0,1.3,14,5:00p,E
111,51.3,10.72222222,64,17.77777778,10:00a,37,2.777777778,12:00m,13.7,0,0,4.5,30,l:00p,w
112,40.4,4.666666667,50.1,10.05555556,3:30p,30.6,-0.777777778,11:00p,24.6,0,0,3.9,24,11:30a,WSW
113,49.2,9.555555556,63.2,17.33333333,3:30p,30.9,-0.611111111,5:30a,15.8,0,0,2.9,19,2:30p,SW
114,51.1,10.61111111,65,18.33333333,12:30p,31.6,-0.222222222,5:30a,13.9,0,0.38,0.6,12,l:30p,s
115,54.7,12.61111111,64.8,18.22222222,3:00p,47.7,8.722222222,6:30a,10.3,0,0.11,2.7,19,4:30p,w
116,51.4,10.77777778,66,18.88888889,6:30p,40.1,4.5,5:30a,13.6,0,0,2.5,17,2:00p,WSW
117,62.9,17.16666667,83.2,28.44444444,3:30p,38.5,3.611111111,2:00a,8.1,6,0,0.9,14,l:00p,SW
118,72,22.22222222,85.5,29.72222222,3:00p,56.6,13.66666667,4:00a,1.4,8.4,0,1.7,19,11:00a,SW
119,71.5,21.94444444,81.1,27.27777778,2:00p,62.6,17,l:30a,0.2,6.7,0.06,1.5,22,10:30p,SW
120,59.1,15.05555556,69.3,20.72222222,3:00p,46.5,8.055555556,12:00m,6.3,0.4,0,8,35,2:30p,WSW
121,53.5,11.94444444,66.1,18.94444444,5:00p,42.3,5.722222222,11:30p,10.6,0.1,0,3.3,21,8:00a,W
122,66.6,19.22222222,85.1,29.5,3:00p,42.5,5.833333333,12:30a,5.5,7.1,0,1.9,18,12:00p,SW
123,67.6,19.77777778,73.2,22.88888889,12:00p,58.7,14.83333333,3:00a,0.8,3.4,0.01,1,13,5:00a,ESE
124,71.2,21.77777778,84.7,29.27777778,2:30p,62,16.66666667,11:30p,0.2,6.4,0.12,1.4,13,9:00a,SW
125,64.3,17.94444444,75.8,24.33333333,1:00p,51.9,11.05555556,12:00m,2.7,2,0.46,2.4,20,5:30p,W
126,52.9,11.61111111,62.7,17.05555556,6:00p,43.2,6.222222222,12:00m,12.1,0,0,1.4,14,8:30a,NW
127,49.4,9.666666667,62.6,17,11:30a,38.6,3.666666667,5:30a,15.6,0,0.38,0.5,6,9:30a,E
128,46.6,8.111111111,57.2,14,4:00p,36.9,2.722222222,5:00a,18.4,0,0.13,1.6,20,5:30p,WSW
129,51.5,10.83333333,63.7,17.61111111,3:00p,37.2,2.888888889,12:30a,13.5,0,0,0.8,10,2:30p,E
130,55.8,13.22222222,63.2,17.33333333,2:30p,42.9,6.055555556,12:00m,9.2,0,0,2.5,15,5:00p,W
131,55.4,13,65.8,18.77777778,3:00p,42.8,6,12:30a,9.6,0,0,1.8,16,12:00p,WSW
132,52.6,11.44444444,65.3,18.5,3:00p,40.5,4.722222222,12:00m,12.4,0,0,1.5,13,1:00a,NNW
133,54,12.22222222,68.3,20.16666667,3:30p,35.5,1.944444444,5:00a,11.4,0.4,0,1,13,1:00p,NNW
134,55.9,13.27777778,73,22.77777778,5:30p,40.8,4.888888889,2:00a,10.6,1.5,0,0.5,10,12:00p,W
135,59,15,77.6,25.33333333,4:30p,38.2,3.444444444,5:30a,9.5,3.5,0,0.2,7,10:00a,ENE
136,54.4,12.44444444,72.8,22.66666667,11:30a,42.1,5.611111111,4:30a,11.5,0.9,0.14,0.4,12,2:00p,N
137,59.3,15.16666667,73.2,22.88888889,5:30p,45.7,7.611111111,5:00a,7.6,1.9,0,0.2,9,2:00p,E
138,62.7,17.05555556,79.8,26.55555556,5:00p,43.9,6.611111111,5:00a,7.1,4.8,0,0.5,11,12:30p,s
139,67.2,19.55555556,85.9,29.94444444,4:00p,46.5,8.055555556,5:00a,5.3,7.5,0,0.6,9,1:00p,SW
140,70,21.11111111,87.6,30.88888889,12:30p,51.6,10.88888889,5:00a,3.4,8.2,0,1.1,13,2:30p,E
141,66.8,19.33333333,85.3,29.61111111,5:00p,47.1,8.388888889,5:30a,5.1,6.9,0,0.3,7,11:30a,ESE
142,73.3,22.94444444,87.8,31,1:00p,52.6,11.44444444,4:30a,2.8,11,0,1.6,14,12:00p,WSW
143,78.2,25.66666667,90.3,32.38888889,4:30p,60.9,16.05555556,4:30a,0.3,13.5,0,2.1,20,12:30p,WSW
144,61.8,16.55555556,73.5,23.05555556,2:30a,54.4,12.44444444,10:00p,4.4,1.2,0.28,0.5,9,6:30a,E
